"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 05, 2021","68.40","67.23","68.58","67.10","891.09K","2.18%"
"Feb 04, 2021","66.94","66.25","67.84","65.52","716.82K","1.58%"
"Feb 03, 2021","65.90","65.05","66.18","64.91","1.47M","1.51%"
"Feb 02, 2021","64.92","64.50","65.50","63.97","1.57M","1.49%"
"Feb 01, 2021","63.97","63.29","64.09","63.27","889.65K","1.57%"
"Jan 29, 2021","62.98","65.61","65.95","62.80","1.66M","-4.92%"
"Jan 28, 2021","66.24","65.77","66.71","64.74","916.67K","1.35%"
"Jan 27, 2021","65.36","66.01","66.41","64.11","1.15M","-2.30%"
"Jan 26, 2021","66.90","67.50","67.85","66.53","397.65K","-0.86%"
"Jan 25, 2021","67.48","66.71","67.67","65.90","635.29K","0.63%"
"Jan 22, 2021","67.06","67.58","68.10","67.03","1.17M","-1.70%"
"Jan 21, 2021","68.22","67.70","68.40","67.41","3.39M","1.13%"
"Jan 20, 2021","67.46","68.37","68.41","66.34","967.49K","-0.85%"
"Jan 19, 2021","68.04","68.40","68.74","67.76","1.71M","0.12%"
"Jan 18, 2021","67.96","68.50","68.66","67.82","783.16K","-0.45%"
"Jan 15, 2021","68.27","67.98","68.99","67.79","954.32K","0.06%"
"Jan 14, 2021","68.23","67.69","68.57","66.89","1.05M","0.86%"
"Jan 13, 2021","67.65","69.50","70.21","67.59","1.18M","-2.16%"
"Jan 12, 2021","69.14","65.00","69.68","64.67","2.56M","5.38%"
"Jan 11, 2021","65.61","64.78","66.00","64.78","1.25M","0.37%"
"Jan 08, 2021","65.37","65.50","65.81","64.10","857.78K","-0.20%"
"Jan 07, 2021","65.50","66.12","66.97","65.26","1.58M","-0.08%"
"Jan 06, 2021","65.55","64.05","66.00","64.05","3.19M","3.15%"
"Jan 05, 2021","63.55","63.19","64.02","63.02","799.93K","0.57%"
"Jan 04, 2021","63.19","61.79","63.65","61.61","1.21M","3.18%"
"Dec 31, 2020","61.24","60.09","61.91","59.69","1.23M","1.73%"
"Dec 30, 2020","60.20","60.14","61.02","60.11","456.40K","-0.35%"
"Dec 29, 2020","60.41","60.33","61.49","60.08","605.04K","-0.40%"
"Dec 24, 2020","60.65","60.31","60.77","60.11","359.96K","0.38%"
"Dec 23, 2020","60.42","60.15","60.42","59.45","1.35M","0.45%"
"Dec 22, 2020","60.15","61.28","61.39","60.00","1.37M","-1.84%"
"Dec 21, 2020","61.28","60.30","61.36","59.82","1.18M","0.23%"
"Dec 18, 2020","61.14","61.74","62.23","60.87","4.70M","-0.84%"
"Dec 17, 2020","61.66","61.85","61.94","60.89","1.01M","0.13%"
"Dec 16, 2020","61.58","62.97","63.02","60.65","1.55M","-1.36%"
"Dec 15, 2020","62.43","62.72","63.04","61.70","1.08M","0.06%"
"Dec 14, 2020","62.39","63.08","63.53","62.28","2.01M","-0.49%"
"Dec 11, 2020","62.70","62.24","62.80","61.96","943.02K","0.11%"
"Dec 10, 2020","62.63","63.90","63.90","62.17","1.09M","-2.46%"
"Dec 09, 2020","64.21","64.25","64.62","63.54","1.46M","0.06%"
"Dec 08, 2020","64.17","63.80","64.43","63.71","796.85K","0.12%"
"Dec 07, 2020","64.09","64.58","64.61","63.56","1.41M","-0.93%"
"Dec 04, 2020","64.69","63.61","64.98","63.60","2.41M","1.99%"
"Dec 03, 2020","63.43","62.93","64.22","62.82","1.70M","0.21%"
"Dec 02, 2020","63.30","63.84","64.45","63.05","1.02M","-1.11%"
"Dec 01, 2020","64.01","64.44","64.84","63.54","1.24M","-0.14%"
"Nov 30, 2020","64.10","63.80","64.25","62.59","2.30M","-0.31%"
