"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 06, 2021","79.61","79.73","79.91","78.81","208.36K","1.34%"
"Jul 05, 2021","78.56","78.36","78.91","78.36","21.95K","0.56%"
"Jul 02, 2021","78.12","79.08","79.33","77.95","155.65K","-0.60%"
"Jun 30, 2021","78.59","77.74","79.11","77.57","269.31K","1.35%"
"Jun 29, 2021","77.54","76.64","77.82","76.24","190.45K","0.28%"
"Jun 28, 2021","77.32","77.16","77.74","76.62","167.70K","0.29%"
"Jun 25, 2021","77.10","77.39","77.53","76.84","127.22K","0.39%"
"Jun 24, 2021","76.80","77.58","77.77","76.75","126.55K","-0.41%"
"Jun 23, 2021","77.12","77.52","78.36","77.11","173.40K","-0.49%"
"Jun 22, 2021","77.50","78.35","78.86","77.41","175.32K","-1.12%"
"Jun 21, 2021","78.38","78.58","78.80","77.17","218.84K","0.84%"
"Jun 18, 2021","77.73","79.04","79.46","77.73","297.15K","-1.23%"
"Jun 17, 2021","78.70","82.14","82.49","78.34","542.31K","-6.19%"
"Jun 16, 2021","83.89","84.04","84.86","83.11","310.25K","-0.37%"
"Jun 15, 2021","84.20","85.27","85.39","83.88","107.14K","-0.73%"
"Jun 14, 2021","84.82","84.58","85.16","83.89","179.48K","-0.83%"
"Jun 11, 2021","85.53","85.63","85.96","85.07","126.27K","-0.52%"
"Jun 10, 2021","85.98","85.03","86.11","84.75","112.25K","1.42%"
"Jun 09, 2021","84.78","84.68","85.53","84.46","116.98K","0.05%"
"Jun 08, 2021","84.74","86.12","86.31","84.68","225.14K","-1.88%"
"Jun 07, 2021","86.36","85.87","86.55","85.37","72.33K","0.08%"
"Jun 04, 2021","86.29","86.38","87.25","85.91","188.14K","0.35%"
"Jun 03, 2021","85.99","86.26","86.48","85.23","285.21K","-1.74%"
"Jun 02, 2021","87.51","88.75","88.98","87.34","216.66K","-1.92%"
"Jun 01, 2021","89.22","88.66","89.30","87.93","210.20K","1.10%"
"May 31, 2021","88.25","88.76","88.79","88.21","33.44K","-0.57%"
"May 28, 2021","88.76","88.48","89.11","88.30","208.87K","0.82%"
"May 27, 2021","88.04","88.45","89.02","88.00","180.95K","-0.71%"
"May 26, 2021","88.67","89.00","89.66","88.17","197.66K","0.41%"
"May 25, 2021","88.31","89.09","89.17","88.00","154.30K","-0.44%"
"May 21, 2021","88.70","89.35","89.66","88.35","145.07K","-0.39%"
"May 20, 2021","89.05","89.03","89.62","88.31","131.50K","-0.26%"
"May 19, 2021","89.28","89.43","90.94","88.52","363.68K","-0.50%"
"May 18, 2021","89.73","89.05","90.14","88.00","251.40K","0.53%"
"May 17, 2021","89.26","86.03","89.56","85.59","398.80K","4.09%"
"May 14, 2021","85.75","84.30","85.89","83.75","303.11K","2.31%"
"May 13, 2021","83.81","81.79","84.33","81.57","167.77K","1.81%"
"May 12, 2021","82.32","83.45","83.73","82.17","185.58K","-1.09%"
"May 11, 2021","83.23","81.76","83.27","81.18","137.79K","0.68%"
"May 10, 2021","82.67","82.54","83.97","82.38","248.16K","1.15%"
"May 07, 2021","81.73","82.25","82.79","80.91","224.23K","0.47%"
"May 06, 2021","81.35","80.18","81.63","80.17","243.32K","2.22%"
"May 05, 2021","79.58","79.13","79.78","78.03","188.97K","1.02%"
"May 04, 2021","78.78","79.00","80.62","78.14","158.29K","-0.47%"
"May 03, 2021","79.15","77.90","79.58","77.62","168.13K","3.22%"
"Apr 30, 2021","76.68","76.23","77.46","76.06","145.17K","0.27%"
"Apr 29, 2021","76.47","77.81","78.00","74.82","232.53K","-3.21%"
"Apr 28, 2021","79.01","79.00","80.01","78.93","135.33K","-0.69%"
"Apr 27, 2021","79.56","80.92","81.07","79.55","70.97K","-1.67%"
"Apr 26, 2021","80.91","81.75","81.84","80.82","112.33K","-1.34%"
"Apr 23, 2021","82.01","83.00","83.24","81.83","138.86K","0.17%"
"Apr 22, 2021","81.87","83.00","83.03","81.59","280.16K","-2.06%"
"Apr 21, 2021","83.59","83.46","84.46","82.87","165.48K","0.72%"
"Apr 20, 2021","82.99","81.48","83.60","81.09","145.84K","2.03%"
"Apr 19, 2021","81.34","81.57","81.57","80.25","123.27K","-0.48%"
"Apr 16, 2021","81.73","82.03","82.35","81.16","155.32K","0.67%"
"Apr 15, 2021","81.19","78.26","81.83","78.12","204.86K","5.09%"
"Apr 14, 2021","77.26","78.18","78.67","77.25","91.38K","-0.66%"
"Apr 13, 2021","77.77","76.36","78.21","76.36","112.62K","2.22%"
"Apr 12, 2021","76.08","76.61","77.05","75.90","130.20K","-1.26%"
"Apr 09, 2021","77.05","76.52","77.55","76.33","137.67K","-0.89%"
"Apr 08, 2021","77.74","78.84","79.16","77.58","132.06K","-0.58%"
"Apr 07, 2021","78.19","79.23","79.74","77.83","137.52K","-1.03%"
"Apr 06, 2021","79.00","78.88","79.57","78.57","174.49K","0.91%"
"Apr 05, 2021","78.29","77.86","79.01","77.37","165.15K","0.84%"
"Apr 01, 2021","77.64","76.43","77.65","75.76","126.33K","2.59%"
"Mar 31, 2021","75.68","75.41","76.56","74.95","106.12K","0.08%"
"Mar 30, 2021","75.62","76.78","77.14","75.11","102.84K","-3.32%"
"Mar 29, 2021","78.22","77.02","78.34","76.29","100.66K","1.23%"
"Mar 26, 2021","77.27","75.39","77.48","75.13","136.44K","2.30%"
"Mar 25, 2021","75.53","75.76","75.83","74.70","100.73K","-0.29%"
"Mar 24, 2021","75.75","76.01","76.25","75.44","75.72K","0.24%"
"Mar 23, 2021","75.57","76.00","76.39","75.01","152.89K","-1.06%"
"Mar 22, 2021","76.38","76.68","76.83","75.61","102.02K","-2.21%"
"Mar 19, 2021","78.11","78.00","78.24","76.98","179.60K","0.14%"
"Mar 18, 2021","78.00","77.61","79.07","77.21","108.26K","-0.12%"
"Mar 17, 2021","78.09","76.61","78.60","75.87","155.88K","1.55%"
"Mar 16, 2021","76.90","76.59","77.65","75.97","232.89K","0.33%"
